,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
3666691,2015,8,16,7,UA,579,N822UA,DEN,BIL,1111,1148.0,37.0,11.0,1159.0,91.0,81.0,64.0,455,1303.0,6.0,1242,1309.0,27.0,0,0,,0.0,0.0,17.0,10.0,0.0
3935759,2015,9,1,2,AA,1183,N860AA,DFW,SFO,2025,2020.0,-5.0,18.0,2038.0,230.0,216.0,195.0,1464,2153.0,3.0,2215,2156.0,-19.0,0,0,,,,,,
4833956,2015,10,29,4,DL,1350,N910AT,10994,10397,1124,1121.0,-3.0,15.0,1136.0,77.0,69.0,47.0,259,1223.0,7.0,1241,1230.0,-11.0,0,0,,,,,,
5423698,2015,12,6,7,DL,2444,N814DN,ATL,SEA,1351,1348.0,-3.0,14.0,1402.0,337.0,317.0,295.0,2182,1557.0,8.0,1628,1605.0,-23.0,0,0,,,,,,
2182812,2015,5,19,2,AA,68,N7BXAA,LAX,MIA,926,949.0,23.0,18.0,1007.0,294.0,291.0,266.0,2342,1733.0,7.0,1720,1740.0,20.0,0,0,,0.0,0.0,20.0,0.0,0.0
4283014,2015,9,24,4,WN,317,N566WN,DEN,PHX,1240,1237.0,-3.0,12.0,1249.0,110.0,97.0,81.0,602,1310.0,4.0,1330,1314.0,-16.0,0,0,,,,,,
3164168,2015,7,17,5,AA,936,N5FTAA,STT,JFK,1305,1527.0,142.0,11.0,1538.0,264.0,237.0,218.0,1623,1916.0,8.0,1729,1924.0,115.0,0,0,,0.0,0.0,115.0,0.0,0.0
2158637,2015,5,17,7,UA,1232,N75861,LAX,HNL,1905,1928.0,23.0,14.0,1942.0,336.0,341.0,321.0,2556,2203.0,6.0,2141,2209.0,28.0,0,0,,5.0,0.0,23.0,0.0,0.0
5219353,2015,11,23,1,DL,822,N374DA,SEA,SLC,600,556.0,-4.0,21.0,617.0,116.0,114.0,86.0,689,843.0,7.0,856,850.0,-6.0,0,0,,,,,,
3996886,2015,9,5,6,UA,1944,N36476,ORD,SFO,1730,1725.0,-5.0,11.0,1736.0,285.0,272.0,255.0,1846,1951.0,6.0,2015,1957.0,-18.0,0,0,,,,,,
3716095,2015,8,19,3,B6,1274,N554JB,CHS,JFK,1001,957.0,-4.0,11.0,1008.0,115.0,102.0,87.0,636,1135.0,4.0,1156,1139.0,-17.0,0,0,,,,,,
2655247,2015,6,17,3,EV,6021,N11192,ABE,ORD,627,724.0,57.0,14.0,738.0,123.0,119.0,98.0,654,816.0,7.0,730,823.0,53.0,0,0,,53.0,0.0,0.0,0.0,0.0
1086117,2015,3,12,4,AA,2237,N3BSAA,DFW,DCA,1430,1427.0,-3.0,14.0,1441.0,161.0,161.0,138.0,1192,1759.0,9.0,1811,1808.0,-3.0,0,0,,,,,,
797932,2015,2,22,7,EV,4422,N11199,JAX,EWR,1433,1429.0,-4.0,13.0,1442.0,141.0,135.0,111.0,820,1633.0,11.0,1654,1644.0,-10.0,0,0,,,,,,
1366575,2015,3,29,7,F9,1210,N924FR,ORD,MCO,1825,1823.0,-2.0,20.0,1843.0,155.0,156.0,128.0,1005,2151.0,8.0,2200,2159.0,-1.0,0,0,,,,,,
3187671,2015,7,18,6,AA,2455,N870AA,DFW,LAX,2150,2213.0,23.0,16.0,2229.0,202.0,233.0,165.0,1235,2314.0,52.0,2312,6.0,54.0,0,0,,31.0,0.0,0.0,23.0,0.0
820997,2015,2,23,1,UA,815,N433UA,DEN,LAX,2201,2214.0,13.0,12.0,2226.0,152.0,135.0,113.0,862,2319.0,10.0,2333,2329.0,-4.0,0,0,,,,,,
342266,2015,1,23,5,US,1839,N961UW,PHL,MSP,1125,1117.0,-8.0,17.0,1134.0,176.0,169.0,149.0,980,1303.0,3.0,1321,1306.0,-15.0,0,0,,,,,,
3385453,2015,7,30,4,AA,1938,N769US,CLT,DCA,1455,1558.0,63.0,10.0,1608.0,86.0,73.0,60.0,331,1708.0,3.0,1621,1711.0,50.0,0,0,,50.0,0.0,0.0,0.0,0.0
1862739,2015,4,29,3,OO,5507,N916SW,TUS,DEN,1238,1237.0,-1.0,13.0,1250.0,117.0,126.0,104.0,639,1534.0,9.0,1535,1543.0,8.0,0,0,,,,,,
4983023,2015,11,8,7,MQ,3244,N918MQ,GRB,ORD,610,603.0,-7.0,27.0,630.0,84.0,81.0,36.0,173,706.0,18.0,734,724.0,-10.0,0,0,,,,,,
729644,2015,2,18,3,OO,5579,N978SW,SFO,SBA,709,656.0,-13.0,24.0,720.0,71.0,73.0,45.0,262,805.0,4.0,820,809.0,-11.0,0,0,,,,,,
942888,2015,3,3,2,DL,2176,N982DL,BNA,ATL,1730,1731.0,1.0,10.0,1741.0,77.0,58.0,36.0,214,1917.0,12.0,1947,1929.0,-18.0,0,0,,,,,,
